"F_ppm"	"Cl_ppm"	"S_ppm"	"P_ppm"	"Fe_ppm"	"Mn_ppm"	"Mg_ppm"	"Al_ppm"	"Ca_ppm"	"Na_ppm"	"K_ppm"
0.0511541225879886	1.72848412558179	3.6466908493814	0.00731682352328771	0.0436980828205845	0.0252181463339706	0.49189759028462	0.17957957957958	1.71536528412253	1.27387782803342	0.992719205152348
0.0740605392783886	5.02006359273854	3.5820113184349	0.0162579559327345	0.551656296931723	0.0901006953681716	1.13750187891158	0.321802632078991	3.69583249883726	2.39938096555807	1.10513793999393
0.0327249271987496	3.36600089846263	3.57243832045907	0.0152852852852853	0.264019246687571	0.124491811582792	1.12989967847318	0.394206527033838	3.47552791750059	2.73648451584955	0.454384384384384
0.0394706662392764	12.2666521685965	4.95615952696051	0.00751057859521616	0.117841032872849	0.084527733456489	2.01373426654428	0.171394605091383	5.90833597257733	5.95730836790641	0.222107292889727
0.0537764862950309	0.34094432839356	3.60849348887804	0.0141431031372534	0.0210575004789295	0.260029128302034	0.558941090347359	0.361747293016109	1.00382449990138	1.16196518091788	0.838848936926883
0.01207178068702	1.32264565267261	3.82913178281789	0.00719836574589255	0.141960529978321	0.0314703335548226	0.463564274444207	0.0526858553422973	1.41806073207408	1.62553658749292	0.244316787280141
0.0452737640396036	10.6885941427944	4.86744973771435	0.0338020380724398	0.48842823768753	0.0774559123151488	2.21871900661733	0.644558316371935	5.45228466344997	3.32857344519568	0.49726165469953
0.0579587600956435	1.79071598823379	4.14178475902629	0.0402786336955303	1.34776106268908	0.106881260195055	0.771633792132575	1.38879021413827	2.36941153369844	0.260732743571129	0.645011744707054
0.0136757571697789	10.3864290311515	3.98678557169682	0.00644501186619184	0.48263648467586	0.061907848016164	1.74781355223876	0.590776936559369	4.72396206436679	2.49696100211126	0.0252052052052052
0.0747062311063112	0.291887495036557	3.61059103196956	0.0185307694182274	0.215030963173806	0.0136423282534709	0.850954953960125	0.388981186750139	3.46679138299078	0.94762277852148	0.68949033144769
0.0386152407161617	0.611656729580879	4.5746620686124	0.0131381381381381	0.545320661609247	0.0780771373454649	0.228506732511149	0.508377499809323	1.52167439926416	0.449755717235299	0.0246863486794572
0.0399163092688131	20.6180236290427	4.36102344470832	0.00157386951548779	0.342235320146502	0.0545270258756675	2.14836463144697	0.148831519596359	6.1830614907667	4.19833490026395	0.34696253637975
0.0476446928633476	1.30535748000729	3.12367977881733	0.00679286137253685	0.154954954954955	0.0554552759907724	0.530528572133906	0.0542670345919253	2.135416590143	1.24494735271435	0.20953001926494
0.0541276692394758	0.48157897806036	3.2738572340293	0.00594594594594595	0.530341681745615	0.0439039039039039	0.518490388345961	0.189189189189189	1.82524951314554	1.18117033872817	0.497464315958606
0.0546950410469445	13.3341719726197	3.46615821297868	0.0130614495170527	0.157661636541156	0.0511111111111111	1.92013742546358	0.244169520168847	4.74806615617126	3.94680367794533	0.375360312726177
0.0872657442250889	2.03315932950025	2.35217347872051	0.0428500093898358	0.718824169631741	0.0497097097097097	0.416800766862731	0.686103938781388	1.21000098390505	0.578318840298667	0.933630854854088
0.0613321895729382	0.350423923062718	3.83444855268532	0.00774476974477456	0.0524024024024024	0.102762407350255	0.159758620914365	0.191325610520718	0.63864959217608	0.377152374272757	0.146218178410318
