"Code"	"Frequency"
"M1246"	1598.7142
"M1247"	1596.78571
"M1248"	1594.85723
"M1249"	1592.92874
"M1250"	1591.00026
"M1251"	1589.07177
"M1252"	1587.14329
"M1253"	1585.2148
"M1254"	1583.28632
"M1255"	1581.35783
"M1256"	1579.42935
"M1257"	1577.50086
"M1258"	1575.57238
"M1259"	1573.64389
"M1260"	1571.71541
"M1261"	1569.78692
"M1262"	1567.85844
"M1263"	1565.92995
"M1264"	1564.00147
"M1265"	1562.07298
"M1266"	1560.1445
"M1267"	1558.21601
"M1268"	1556.28752
"M1269"	1554.35904
"M1270"	1552.43055
"M1271"	1550.50207
"M1272"	1548.57358
"M1273"	1546.6451
"M1274"	1544.71661
"M1275"	1542.78813
"M1276"	1540.85964
"M1277"	1538.93116
"M1278"	1537.00267
"M1279"	1535.07419
"M1280"	1533.1457
"M1281"	1531.21722
"M1282"	1529.28873
"M1283"	1527.36025
"M1284"	1525.43176
"M1285"	1523.50328
"M1286"	1521.57479
"M1287"	1519.64631
"M1288"	1517.71782
"M1289"	1515.78934
"M1290"	1513.86085
"M1291"	1511.93237
"M1292"	1510.00388
"M1293"	1508.0754
"M1294"	1506.14691
"M1295"	1504.21843
"M1296"	1502.28994
"M1297"	1500.36146
"M1298"	1498.43297
"M1299"	1496.50448
"M1300"	1494.576
"M1301"	1492.64751
"M1302"	1490.71903
"M1303"	1488.79054
"M1304"	1486.86206
"M1305"	1484.93357
"M1306"	1483.00509
"M1307"	1481.0766
"M1308"	1479.14812
"M1309"	1477.21963
"M1310"	1475.29115
"M1311"	1473.36266
"M1312"	1471.43418
"M1313"	1469.50569
"M1314"	1467.57721
"M1315"	1465.64872
"M1316"	1463.72024
"M1317"	1461.79175
"M1318"	1459.86327
"M1319"	1457.93478
"M1320"	1456.0063
"M1321"	1454.07781
"M1322"	1452.14933
"M1323"	1450.22084
"M1324"	1448.29236
"M1325"	1446.36387
"M1326"	1444.43539
"M1327"	1442.5069
"M1328"	1440.57842
"M1329"	1438.64993
"M1330"	1436.72144
"M1331"	1434.79296
"M1332"	1432.86447
"M1333"	1430.93599
"M1334"	1429.0075
"M1335"	1427.07902
"M1336"	1425.15053
"M1337"	1423.22205
"M1338"	1421.29356
"M1339"	1419.36508
"M1340"	1417.43659
"M1341"	1415.50811
"M1342"	1413.57962
"M1343"	1411.65114
"M1344"	1409.72265
"M1345"	1407.79417
"M1346"	1405.86568
"M1347"	1403.9372
"M1348"	1402.00871
"M1349"	1400.08023
"M1350"	1398.15174
"M1351"	1396.22326
"M1352"	1394.29477
"M1353"	1392.36629
"M1354"	1390.4378
"M1355"	1388.50932
"M1356"	1386.58083
"M1357"	1384.65235
"M1358"	1382.72386
"M1359"	1380.79538
"M1360"	1378.86689
"M1361"	1376.9384
"M1362"	1375.00992
"M1363"	1373.08143
"M1364"	1371.15295
"M1365"	1369.22446
"M1366"	1367.29598
"M1367"	1365.36749
"M1368"	1363.43901
"M1369"	1361.51052
"M1370"	1359.58204
"M1371"	1357.65355
"M1372"	1355.72507
"M1373"	1353.79658
"M1374"	1351.8681
"M1375"	1349.93961
"M1376"	1348.01113
"M1377"	1346.08264
"M1378"	1344.15416
"M1379"	1342.22567
"M1380"	1340.29719
"M1381"	1338.3687
"M1382"	1336.44022
"M1383"	1334.51173
"M1384"	1332.58325
"M1385"	1330.65476
"M1386"	1328.72628
"M1387"	1326.79779
"M1388"	1324.86931
"M1389"	1322.94082
"M1390"	1321.01234
"M1391"	1319.08385
"M1392"	1317.15536
"M1393"	1315.22688
"M1394"	1313.29839
"M1395"	1311.36991
"M1396"	1309.44142
"M1397"	1307.51294
"M1398"	1305.58445
"M1399"	1303.65597
"M1400"	1301.72748
"M1401"	1299.799
"M1402"	1297.87051
"M1403"	1295.94203
"M1404"	1294.01354
"M1405"	1292.08506
"M1406"	1290.15657
"M1407"	1288.22809
"M1408"	1286.2996
"M1409"	1284.37112
"M1410"	1282.44263
"M1411"	1280.51415
"M1412"	1278.58566
"M1413"	1276.65718
"M1414"	1274.72869
"M1415"	1272.80021
"M1416"	1270.87172
"M1417"	1268.94324
"M1418"	1267.01475
"M1419"	1265.08627
"M1420"	1263.15778
"M1421"	1261.2293
"M1422"	1259.30081
"M1423"	1257.37232
"M1424"	1255.44384
"M1425"	1253.51535
"M1426"	1251.58687
"M1427"	1249.65838
"M1428"	1247.7299
"M1429"	1245.80141
"M1430"	1243.87293
"M1431"	1241.94444
"M1432"	1240.01596
"M1433"	1238.08747
"M1434"	1236.15899
"M1435"	1234.2305
"M1436"	1232.30202
"M1437"	1230.37353
"M1438"	1228.44505
"M1439"	1226.51656
"M1440"	1224.58808
"M1441"	1222.65959
"M1442"	1220.73111
"M1443"	1218.80262
"M1444"	1216.87414
"M1445"	1214.94565
"M1446"	1213.01717
"M1447"	1211.08868
"M1448"	1209.1602
"M1449"	1207.23171
"M1450"	1205.30323
"M1451"	1203.37474
"M1452"	1201.44626
"M1453"	1199.51777
"M1454"	1197.58928
"M1455"	1195.6608
"M1456"	1193.73231
"M1457"	1191.80383
"M1458"	1189.87534
"M1459"	1187.94686
"M1460"	1186.01837
"M1461"	1184.08989
"M1462"	1182.1614
"M1463"	1180.23292
"M1464"	1178.30443
"M1465"	1176.37595
"M1466"	1174.44746
"M1467"	1172.51898
"M1468"	1170.59049
"M1469"	1168.66201
"M1470"	1166.73352
"M1471"	1164.80504
"M1472"	1162.87655
"M1473"	1160.94807
"M1474"	1159.01958
"M1475"	1157.0911
"M1476"	1155.16261
"M1477"	1153.23413
"M1478"	1151.30564
"M1479"	1149.37716
"M1480"	1147.44867
"M1481"	1145.52019
"M1482"	1143.5917
"M1483"	1141.66322
"M1484"	1139.73473
"M1485"	1137.80624
"M1486"	1135.87776
"M1487"	1133.94927
"M1488"	1132.02079
"M1489"	1130.0923
"M1490"	1128.16382
"M1491"	1126.23533
"M1492"	1124.30685
"M1493"	1122.37836
"M1494"	1120.44988
"M1495"	1118.52139
"M1496"	1116.59291
"M1497"	1114.66442
"M1498"	1112.73594
"M1499"	1110.80745
"M1500"	1108.87897
"M1501"	1106.95048
"M1502"	1105.022
"M1503"	1103.09351
"M1504"	1101.16503
"M1505"	1099.23654
"M1506"	1097.30806
"M1507"	1095.37957
"M1508"	1093.45109
"M1509"	1091.5226
"M1510"	1089.59412
"M1511"	1087.66563
"M1512"	1085.73715
"M1513"	1083.80866
"M1514"	1081.88018
"M1515"	1079.95169
"M1516"	1078.0232
"M1517"	1076.09472
"M1518"	1074.16623
"M1519"	1072.23775
"M1520"	1070.30926
"M1521"	1068.38078
"M1522"	1066.45229
"M1523"	1064.52381
"M1524"	1062.59532
"M1525"	1060.66684
"M1526"	1058.73835
"M1527"	1056.80987
"M1528"	1054.88138
"M1529"	1052.9529
"M1530"	1051.02441
"M1531"	1049.09593
"M1532"	1047.16744
"M1533"	1045.23896
"M1534"	1043.31047
"M1535"	1041.38199
"M1536"	1039.4535
"M1537"	1037.52502
"M1538"	1035.59653
"M1539"	1033.66805
"M1540"	1031.73956
"M1541"	1029.81108
"M1542"	1027.88259
"M1543"	1025.95411
"M1544"	1024.02562
"M1545"	1022.09714
"M1546"	1020.16865
"M1547"	1018.24016
"M1548"	1016.31168
"M1549"	1014.38319
"M1550"	1012.45471
"M1551"	1010.52622
"M1552"	1008.59774
"M1553"	1006.66925
"M1554"	1004.74077
"M1555"	1002.81228
"M1556"	1000.8838
"M1557"	998.95531
"M1558"	997.02683
"M1559"	995.09834
"M1560"	993.16986
"M1561"	991.24137
"M1562"	989.31289
"M1563"	987.3844
"M1564"	985.45592
"M1565"	983.52743
"M1566"	981.59895
"M1567"	979.67046
"M1568"	977.74198
"M1569"	975.81349
"M1570"	973.88501
"M1571"	971.95652
"M1572"	970.02804
"M1573"	968.09955
"M1574"	966.17107
"M1575"	964.24258
"M1576"	962.3141
"M1577"	960.38561
"M1578"	958.45712
"M1579"	956.52864
"M1580"	954.60015
"M1581"	952.67167
"M1582"	950.74318
"M1583"	948.8147
"M1584"	946.88621
"M1585"	944.95773
"M1586"	943.02924
"M1587"	941.10076
"M1588"	939.17227
"M1589"	937.24379
"M1590"	935.3153
"M1591"	933.38682
"M1592"	931.45833
"M1593"	929.52985
"M1594"	927.60136
"M1595"	925.67288
"M1596"	923.74439
"M1597"	921.81591
"M1598"	919.88742
"M1599"	917.95894
"M1600"	916.03045
"M1601"	914.10197
"M1602"	912.17348
"M1603"	910.245
"M1604"	908.31651
"M1605"	906.38803
"M1606"	904.45954
"M1607"	902.53106
"M1608"	900.60257
"M1609"	898.67408
"M1610"	896.7456
"M1611"	894.81711
"M1612"	892.88863
"M1613"	890.96014
"M1614"	889.03166
"M1615"	887.10317
"M1616"	885.17469
"M1617"	883.2462
"M1618"	881.31772
"M1619"	879.38923
"M1620"	877.46075
"M1621"	875.53226
"M1622"	873.60378
"M1623"	871.67529
"M1624"	869.74681
"M1625"	867.81832
"M1626"	865.88984
"M1627"	863.96135
"M1628"	862.03287
"M1629"	860.10438
"M1630"	858.1759
"M1631"	856.24741
"M1632"	854.31893
"M1633"	852.39044
"M1634"	850.46196
"M1635"	848.53347
"M1636"	846.60499
"M1637"	844.6765
"M1638"	842.74802
"M1639"	840.81953
"M1640"	838.89104
"M1641"	836.96256
"M1642"	835.03407
"M1643"	833.10559
"M1644"	831.1771
"M1645"	829.24862
"M1646"	827.32013
"M1647"	825.39165
"M1648"	823.46316
"M1649"	821.53468
"M1650"	819.60619
"M1651"	817.67771
"M1652"	815.74922
"M1653"	813.82074
"M1654"	811.89225
"M1655"	809.96377
"M1656"	808.03528
"M1657"	806.1068
"M1658"	804.17831
"M1659"	802.24983
"M1660"	800.32134
"M1661"	798.39286
"M1662"	796.46437
"M1663"	794.53589
"M1664"	792.6074
"M1665"	790.67892
"M1666"	788.75043
"M1667"	786.82195
"M1668"	784.89346
"M1669"	782.96498
"M1670"	781.03649
"M1671"	779.108
"M1672"	777.17952
"M1673"	775.25103
"M1674"	773.32255
"M1675"	771.39406
"M1676"	769.46558
"M1677"	767.53709
"M1678"	765.60861
"M1679"	763.68012
"M1680"	761.75164
"M1681"	759.82315
"M1682"	757.89467
"M1683"	755.96618
"M1684"	754.0377
"M1685"	752.10921
"M1686"	750.18073
"M1687"	748.25224
"M1688"	746.32376
"M1689"	744.39527
"M1690"	742.46679
"M1691"	740.5383
"M1692"	738.60982
"M1693"	736.68133
"M1694"	734.75285
"M1695"	732.82436
"M1696"	730.89588
"M1697"	728.96739
"M1698"	727.03891
"M1699"	725.11042
"M1700"	723.18194
"M1701"	721.25345
"M1702"	719.32496
"M1703"	717.39648
"M1704"	715.46799
"M1705"	713.53951
"M1706"	711.61102
"M1707"	709.68254
"M1708"	707.75405
"M1709"	705.82557
"M1710"	703.89708
"M1711"	701.9686
"M1712"	700.04011
"M1713"	698.11163
"M1714"	696.18314
"M1715"	694.25466
"M1716"	692.32617
"M1717"	690.39769
"M1718"	688.4692
"M1719"	686.54072
"M1720"	684.61223
"M1721"	682.68375
"M1722"	680.75526
"M1723"	678.82678
"M1724"	676.89829
"M1725"	674.96981
"M1726"	673.04132
"M1727"	671.11284
"M1728"	669.18435
"M1729"	667.25587
"M1730"	665.32738
"M1731"	663.3989
"M1732"	661.47041
"M1733"	659.54192
"M1734"	657.61344
"M1735"	655.68495
"M1736"	653.75647
"M1737"	651.82798
"M1738"	649.8995
"M1739"	647.97101
"M1740"	646.04253
"M1741"	644.11404
"M1742"	642.18556
"M1743"	640.25707
"M1744"	638.32859
"M1745"	636.4001
"M1746"	634.47162
"M1747"	632.54313
"M1748"	630.61465
"M1749"	628.68616
"M1750"	626.75768
"M1751"	624.82919
"M1752"	622.90071
"M1753"	620.97222
"M1754"	619.04374
"M1755"	617.11525
"M1756"	615.18677
"M1757"	613.25828
"M1758"	611.3298
"M1759"	609.40131
"M1760"	607.47283
"M1761"	605.54434
"M1762"	603.61586
"M1763"	601.68737
"M1764"	599.75888
"M1765"	597.8304
"M1766"	595.90191
"M1767"	593.97343
"M1768"	592.04494
"M1769"	590.11646
"M1770"	588.18797
"M1771"	586.25949
"M1772"	584.331
"M1773"	582.40252
"M1774"	580.47403
"M1775"	578.54555
"M1776"	576.61706
"M1777"	574.68858
"M1778"	572.76009
"M1779"	570.83161
"M1780"	568.90312
"M1781"	566.97464
"M1782"	565.04615
"M1783"	563.11767
"M1784"	561.18918
"M1785"	559.2607
"M1786"	557.33221
"M1787"	555.40373
"M1788"	553.47524
"M1789"	551.54676
"M1790"	549.61827
